,Date,Close
0,"Jan 18, 2019",54.88
1,"Jan 17, 2019",53.54
2,"Jan 16, 2019",52.73
3,"Jan 15, 2019",52.92
4,"Jan 14, 2019",52.20
5,"Jan 11, 2019",52.40
6,"Jan 10, 2019",52.29
7,"Jan 09, 2019",51.99
8,"Jan 08, 2019",51.90
9,"Jan 07, 2019",50.64
10,"Jan 04, 2019",50.05
11,"Jan 03, 2019",47.37
12,"Jan 02, 2019",49.85
13,"Dec 31, 2018",49.30
14,"Dec 28, 2018",48.68
15,"Dec 27, 2018",48.13
16,"Dec 26, 2018",47.50
17,"Dec 24, 2018",46.21
18,"Dec 21, 2018",47.86
19,"Dec 20, 2018",49.79
20,"Dec 19, 2018",55.01
21,"Dec 18, 2018",56.21
22,"Dec 17, 2018",56.34
23,"Dec 14, 2018",56.33
24,"Dec 13, 2018",56.59
25,"Dec 12, 2018",56.52
26,"Dec 11, 2018",56.07
27,"Dec 10, 2018",56.35
28,"Dec 07, 2018",56.73
29,"Dec 06, 2018",58.90
