,Date,Close
0,"Jan 18, 2019",92.33
1,"Jan 17, 2019",92.14
2,"Jan 16, 2019",92.01
3,"Jan 15, 2019",91.58
4,"Jan 14, 2019",90.03
5,"Jan 11, 2019",89.73
6,"Jan 10, 2019",89.97
7,"Jan 09, 2019",88.51
8,"Jan 08, 2019",89.09
9,"Jan 07, 2019",87.70
10,"Jan 04, 2019",87.84
11,"Jan 03, 2019",88.46
12,"Jan 02, 2019",87.44
13,"Dec 31, 2018",90.48
14,"Dec 28, 2018",89.96
15,"Dec 27, 2018",90.70
16,"Dec 26, 2018",90.31
17,"Dec 24, 2018",88.60
18,"Dec 21, 2018",92.58
19,"Dec 20, 2018",93.04
20,"Dec 19, 2018",93.78
21,"Dec 18, 2018",93.71
22,"Dec 17, 2018",93.20
23,"Dec 14, 2018",97.32
24,"Dec 13, 2018",97.40
25,"Dec 12, 2018",97.30
26,"Dec 11, 2018",98.31
27,"Dec 10, 2018",97.68
28,"Dec 07, 2018",98.70
29,"Dec 06, 2018",99.82
